ProblemId,Result,TotalTime
MNIST_P34_N34,timeout,3600.003
MNIST_P81_N9,NeurifyTranslatorError(Unsupported activation: None),0.9921
MNIST_P20_N37,NeurifyTranslatorError(Unsupported activation: None),0.9424
MNIST_P36_N46,NeurifyTranslatorError(Unsupported activation: None),1.2458
MNIST_P88_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.1947
MNIST_P90_N22,NeurifyTranslatorError(Unsupported activation: None),1.3053
MNIST_P71_N29,unsat,12.8838
MNIST_P9_N36,NeurifyTranslatorError(Unsupported activation: None),2.1515
MNIST_P63_N4,NeurifyTranslatorError(Unsupported activation: None),2.1344
MNIST_P50_N14,NeurifyTranslatorError(Unsupported activation: None),1.7012
MNIST_P22_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.954
MNIST_P47_N40,unsat,14.6912
MNIST_P51_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.986
MNIST_P72_N21,NeurifyTranslatorError(Unsupported activation: None),2.0147
MNIST_P29_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.7392
MNIST_P89_N14,NeurifyTranslatorError(Unsupported activation: None),0.9957
MNIST_P85_N42,unsat,9.0507
MNIST_P47_N17,NeurifyTranslatorError(Unsupported computation graph detected),1.1821
MNIST_P1_N5,NeurifyTranslatorError(Unsupported activation: None),1.8916
MNIST_P64_N26,NeurifyTranslatorError(Unsupported computation graph detected),1.2838
MNIST_P99_N46,NeurifyTranslatorError(Unsupported activation: None),1.0516
MNIST_P28_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.0249
MNIST_P78_N11,outofmemory,138.051
MNIST_P12_N42,unsat,9.6521
MNIST_P90_N49,NeurifyTranslatorError(Unsupported activation: None),1.0339
MNIST_P1_N29,unsat,15.8042
MNIST_P8_N40,unsat,16.0598
MNIST_P8_N14,NeurifyTranslatorError(Unsupported activation: None),1.1988
MNIST_P84_N2,NeurifyTranslatorError(Unsupported activation: None),1.516
MNIST_P27_N23,unsat,14.531
MNIST_P34_N48,NeurifyTranslatorError(Unsupported activation: None),1.0199
MNIST_P38_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6362
MNIST_P51_N38,outofmemory,162.398
MNIST_P54_N46,NeurifyTranslatorError(Unsupported activation: None),1.5329
MNIST_P46_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.7424
MNIST_P20_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.7707
MNIST_P44_N1,unsat,9.2269
MNIST_P33_N38,outofmemory,161.132
MNIST_P44_N35,outofmemory,148.244
MNIST_P71_N12,NeurifyTranslatorError(Unsupported activation: None),1.2357
MNIST_P91_N36,NeurifyTranslatorError(Unsupported activation: None),1.9202
MNIST_P99_N14,NeurifyTranslatorError(Unsupported activation: None),1.0741
MNIST_P21_N14,NeurifyTranslatorError(Unsupported activation: None),1.1344
MNIST_P62_N33,NeurifyTranslatorError(Unsupported activation: None),1.247
MNIST_P64_N2,NeurifyTranslatorError(Unsupported activation: None),1.6052
MNIST_P99_N39,timeout,3600.021
MNIST_P52_N38,outofmemory,172.376
MNIST_P91_N19,NeurifyTranslatorError(Unsupported activation: None),1.8039
MNIST_P16_N1,unsat,8.3017
MNIST_P19_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.8625
MNIST_P42_N17,NeurifyTranslatorError(Unsupported computation graph detected),0.8538
MNIST_P88_N34,timeout,3600.014
MNIST_P46_N41,outofmemory,39.133
MNIST_P57_N48,NeurifyTranslatorError(Unsupported activation: None),1.2328
MNIST_P81_N8,IOPolytopeReductionError(Unknown shape for variable x_),0.3843
MNIST_P87_N19,NeurifyTranslatorError(Unsupported activation: None),2.3275
MNIST_P69_N24,timeout,3600.008
MNIST_P84_N34,sat,1.2918
MNIST_P99_N48,NeurifyTranslatorError(Unsupported activation: None),1.3773
MNIST_P37_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.5382
MNIST_P21_N8,IOPolytopeReductionError(Unknown shape for variable x_),0.4747
MNIST_P58_N4,NeurifyTranslatorError(Unsupported activation: None),1.7175
MNIST_P5_N23,unsat,11.5988
MNIST_P76_N48,NeurifyTranslatorError(Unsupported activation: None),0.9842
MNIST_P49_N4,NeurifyTranslatorError(Unsupported activation: None),1.6571
MNIST_P87_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6416
MNIST_P71_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.8539
MNIST_P41_N45,sat,0.9541
MNIST_P98_N25,NeurifyTranslatorError(Unsupported activation: None),1.3582
MNIST_P10_N35,timeout,3600.01
MNIST_P41_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.8195
MNIST_P61_N11,outofmemory,130.776
MNIST_P2_N29,unsat,14.9646
MNIST_P48_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.2228
MNIST_P26_N34,timeout,3600.023
MNIST_P7_N42,unsat,8.1135
MNIST_P24_N49,NeurifyTranslatorError(Unsupported activation: None),1.0724
MNIST_P57_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.745
MNIST_P60_N33,NeurifyTranslatorError(Unsupported activation: None),0.8831
MNIST_P64_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.0543
MNIST_P63_N31,NeurifyTranslatorError(Unsupported activation: None),1.6334
MNIST_P67_N35,outofmemory,123.059
MNIST_P70_N31,NeurifyTranslatorError(Unsupported activation: None),1.8073
MNIST_P44_N24,sat,1.3662
MNIST_P41_N15,NeurifyTranslatorError(Unsupported activation: None),1.8365
MNIST_P6_N40,unsat,15.1715
MNIST_P70_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6257
MNIST_P10_N24,timeout,3600.001
MNIST_P49_N10,timeout,3600.022
MNIST_P1_N34,timeout,3600.015
MNIST_P12_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.8881
MNIST_P99_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.7454
MNIST_P21_N39,outofmemory,127.867
MNIST_P42_N29,unsat,17.0071
MNIST_P15_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.9881
MNIST_P25_N38,timeout,3600.016
MNIST_P60_N19,NeurifyTranslatorError(Unsupported activation: None),1.5225
MNIST_P31_N9,NeurifyTranslatorError(Unsupported activation: None),1.0588
MNIST_P67_N19,NeurifyTranslatorError(Unsupported activation: None),1.3342
MNIST_P32_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.0591
MNIST_P62_N23,unsat,13.0056
MNIST_P75_N9,NeurifyTranslatorError(Unsupported activation: None),0.862
MNIST_P86_N21,NeurifyTranslatorError(Unsupported activation: None),1.3304
MNIST_P84_N42,unsat,7.674
MNIST_P25_N20,NeurifyTranslatorError(Unsupported computation graph detected),0.9925
MNIST_P43_N37,NeurifyTranslatorError(Unsupported activation: None),1.0827
MNIST_P64_N42,unsat,6.7825
MNIST_P83_N34,timeout,3600.015
MNIST_P99_N36,NeurifyTranslatorError(Unsupported activation: None),1.3319
MNIST_P42_N25,NeurifyTranslatorError(Unsupported activation: None),1.3937
MNIST_P26_N22,NeurifyTranslatorError(Unsupported activation: None),0.936
MNIST_P93_N29,unsat,14.9206
MNIST_P98_N46,NeurifyTranslatorError(Unsupported activation: None),1.0357
MNIST_P74_N12,NeurifyTranslatorError(Unsupported activation: None),1.0674
MNIST_P5_N5,NeurifyTranslatorError(Unsupported activation: None),1.2427
