ProblemId,Result,TotalTime
MNIST_P37_N17,BabTranslatorError(Unsupported computation graph detected),1.5109
MNIST_P78_N41,outofmemory,999.537
MNIST_P31_N25,timeout,3600.028
MNIST_P38_N20,BabTranslatorError(Unsupported computation graph detected),2.1297
MNIST_P59_N4,BabTranslatorError(Unsupported activation type: tanh),2.3931
MNIST_P44_N31,timeout,3600.005
MNIST_P9_N48,BabTranslatorError(Unsupported activation type: sigmoid),9.5
MNIST_P61_N16,BabTranslatorError(Unsupported computation graph detected),2.3617
MNIST_P32_N5,BabTranslatorError(Unsupported activation type: sigmoid),2.5054
MNIST_P50_N4,BabTranslatorError(Unsupported activation type: tanh),2.3885
MNIST_P51_N46,timeout,3600.031
MNIST_P73_N8,BabTranslatorError(Unknown shape for variable x_0),0.1062
MNIST_P7_N10,timeout,3600.015
MNIST_P33_N19,BabTranslatorError(Unsupported activation type: tanh),2.4541
MNIST_P51_N29,timeout,3600.018
MNIST_P59_N15,BabTranslatorError(Unsupported activation type: sigmoid),2.4812
MNIST_P62_N8,BabTranslatorError(Unknown shape for variable x_0),0.1046
MNIST_P77_N39,timeout,3600.031
MNIST_P30_N11,timeout,3600.019
MNIST_P34_N29,timeout,3600.002
MNIST_P17_N26,BabTranslatorError(Unsupported computation graph detected),1.5881
MNIST_P88_N22,timeout,3600.033
MNIST_P45_N9,timeout,3600.027
MNIST_P90_N25,timeout,3600.009
MNIST_P88_N23,timeout,3600.008
MNIST_P58_N14,BabTranslatorError(Unsupported activation type: sigmoid),9.5138
MNIST_P54_N42,timeout,3600.018
MNIST_P93_N2,outofmemory,764.416
MNIST_P60_N31,timeout,3600.008
MNIST_P19_N31,timeout,3600.016
MNIST_P5_N3,BabTranslatorError(Unsupported computation graph detected),1.9558
MNIST_P7_N4,BabTranslatorError(Unsupported activation type: tanh),2.3707
MNIST_P66_N33,timeout,3600.018
MNIST_P83_N18,BabTranslatorError(Unsupported activation type: sigmoid),2.6636
MNIST_P88_N3,BabTranslatorError(Unsupported computation graph detected),1.6153
MNIST_P6_N23,timeout,3600.003
MNIST_P0_N35,timeout,3600.016
MNIST_P29_N37,timeout,3600.021
MNIST_P48_N33,timeout,3600.033
MNIST_P49_N22,timeout,3600.039
MNIST_P70_N45,unsat,733.0546
MNIST_P82_N15,BabTranslatorError(Unsupported activation type: sigmoid),2.7888
