ProblemId,Result,TotalTime
MNIST_P92_N39,sat,2.2037
MNIST_P0_N21,NeurifyTranslatorError(Unsupported activation: None),2.0412
MNIST_P12_N21,NeurifyTranslatorError(Unsupported activation: None),1.746
MNIST_P12_N48,NeurifyTranslatorError(Unsupported activation: None),1.5404
MNIST_P21_N19,NeurifyTranslatorError(Unsupported activation: None),1.6526
MNIST_P3_N22,NeurifyTranslatorError(Unsupported activation: None),1.0565
MNIST_P93_N37,NeurifyTranslatorError(Unsupported activation: None),0.969
MNIST_P77_N22,NeurifyTranslatorError(Unsupported activation: None),0.8862
MNIST_P53_N3,NeurifyTranslatorError(Unsupported computation graph detected),0.8823
MNIST_P88_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.663
MNIST_P81_N24,sat,2.758
MNIST_P4_N21,NeurifyTranslatorError(Unsupported activation: None),2.0069
MNIST_P23_N35,outofmemory,147.385
MNIST_P35_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.2241
MNIST_P57_N11,outofmemory,133.041
MNIST_P93_N26,NeurifyTranslatorError(Unsupported computation graph detected),0.8871
MNIST_P21_N29,unsat,12.8608
MNIST_P60_N21,NeurifyTranslatorError(Unsupported activation: None),2.1578
MNIST_P32_N49,NeurifyTranslatorError(Unsupported activation: None),1.2347
MNIST_P64_N23,unsat,12.2389
MNIST_P5_N12,NeurifyTranslatorError(Unsupported activation: None),1.1537
MNIST_P92_N19,NeurifyTranslatorError(Unsupported activation: None),1.9298
MNIST_P99_N49,NeurifyTranslatorError(Unsupported activation: None),1.1547
MNIST_P3_N25,NeurifyTranslatorError(Unsupported activation: None),2.0799
MNIST_P10_N35,timeout,3600.014
MNIST_P86_N40,unsat,12.8989
MNIST_P47_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.4959
MNIST_P51_N19,NeurifyTranslatorError(Unsupported activation: None),2.0223
MNIST_P9_N5,NeurifyTranslatorError(Unsupported activation: None),2.0107
MNIST_P77_N31,NeurifyTranslatorError(Unsupported activation: None),1.8529
MNIST_P88_N12,NeurifyTranslatorError(Unsupported activation: None),1.0366
MNIST_P50_N45,timeout,3600.01
MNIST_P70_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.4479
MNIST_P76_N36,NeurifyTranslatorError(Unsupported activation: None),1.9715
MNIST_P8_N16,NeurifyTranslatorError(Unsupported computation graph detected),1.2428
MNIST_P41_N25,NeurifyTranslatorError(Unsupported activation: None),1.8906
MNIST_P56_N40,unsat,12.5615
MNIST_P65_N49,NeurifyTranslatorError(Unsupported activation: None),1.0677
MNIST_P93_N46,NeurifyTranslatorError(Unsupported activation: None),1.172
MNIST_P97_N17,NeurifyTranslatorError(Unsupported computation graph detected),1.3319
MNIST_P4_N49,NeurifyTranslatorError(Unsupported activation: None),0.952
MNIST_P97_N18,NeurifyTranslatorError(Unsupported activation: None),1.9154
MNIST_P59_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.8057
MNIST_P21_N49,NeurifyTranslatorError(Unsupported activation: None),1.0437
MNIST_P81_N23,unsat,11.1146
MNIST_P24_N3,NeurifyTranslatorError(Unsupported computation graph detected),0.8815
MNIST_P0_N2,NeurifyTranslatorError(Unsupported activation: None),2.029
MNIST_P90_N40,unsat,13.2379
MNIST_P92_N5,NeurifyTranslatorError(Unsupported activation: None),1.4805
MNIST_P16_N15,NeurifyTranslatorError(Unsupported activation: None),1.621
MNIST_P31_N35,outofmemory,169.69
MNIST_P66_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.3912
MNIST_P73_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.8298
MNIST_P46_N10,timeout,3600.006
MNIST_P94_N46,NeurifyTranslatorError(Unsupported activation: None),0.9551
MNIST_P84_N47,timeout,3600.013
MNIST_P55_N29,unsat,14.2595
MNIST_P82_N4,NeurifyTranslatorError(Unsupported activation: None),1.6007
MNIST_P40_N41,outofmemory,34.181
MNIST_P98_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6713
MNIST_P39_N24,timeout,3600.003
