ProblemId,Result,TotalTime
MNIST_P51_N38,unsat,25.9686
MNIST_P89_N23,unsat,15.826
MNIST_P42_N47,unsat,46.1521
MNIST_P40_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6615
MNIST_P62_N48,NeurifyTranslatorError(Unsupported activation: None),1.2082
MNIST_P24_N21,NeurifyTranslatorError(Unsupported activation: None),2.4538
MNIST_P41_N15,NeurifyTranslatorError(Unsupported activation: None),2.108
MNIST_P16_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.5033
MNIST_P34_N42,unsat,10.4921
MNIST_P29_N2,NeurifyTranslatorError(Unsupported activation: None),1.9446
MNIST_P61_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.7244
MNIST_P4_N40,unsat,16.2645
MNIST_P47_N5,NeurifyTranslatorError(Unsupported activation: None),2.3963
MNIST_P79_N47,unsat,46.0778
MNIST_P5_N40,unsat,16.859
MNIST_P41_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.7566
MNIST_P17_N46,NeurifyTranslatorError(Unsupported activation: None),1.1039
MNIST_P25_N40,unsat,16.4364
MNIST_P62_N42,unsat,11.0097
MNIST_P5_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.8839
MNIST_P75_N1,unsat,10.5805
MNIST_P95_N40,unsat,16.7789
MNIST_P46_N45,unsat,4.9356
MNIST_P85_N42,unsat,11.8638
MNIST_P60_N35,unsat,14.2181
MNIST_P56_N3,NeurifyTranslatorError(Unsupported computation graph detected),1.013
MNIST_P87_N36,NeurifyTranslatorError(Unsupported activation: None),1.585
MNIST_P53_N11,unsat,21.0195
MNIST_P68_N12,NeurifyTranslatorError(Unsupported activation: None),1.1284
MNIST_P23_N24,sat,4.0186
MNIST_P23_N37,NeurifyTranslatorError(Unsupported activation: None),1.0126
MNIST_P54_N40,unsat,15.1927
MNIST_P5_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.7266
MNIST_P13_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.709
MNIST_P22_N4,NeurifyTranslatorError(Unsupported activation: None),1.8858
MNIST_P79_N48,NeurifyTranslatorError(Unsupported activation: None),1.0478
MNIST_P5_N47,unsat,43.0833
MNIST_P35_N35,unsat,13.9206
MNIST_P72_N35,unsat,14.4165
MNIST_P68_N26,NeurifyTranslatorError(Unsupported computation graph detected),1.1847
MNIST_P70_N2,NeurifyTranslatorError(Unsupported activation: None),2.1297
MNIST_P92_N19,NeurifyTranslatorError(Unsupported activation: None),2.1605
MNIST_P30_N25,NeurifyTranslatorError(Unsupported activation: None),2.3056
MNIST_P84_N15,NeurifyTranslatorError(Unsupported activation: None),1.9254
MNIST_P62_N14,NeurifyTranslatorError(Unsupported activation: None),1.3534
MNIST_P13_N48,NeurifyTranslatorError(Unsupported activation: None),1.1173
MNIST_P25_N15,NeurifyTranslatorError(Unsupported activation: None),2.1461
MNIST_P10_N47,unsat,38.6823
MNIST_P15_N31,NeurifyTranslatorError(Unsupported activation: None),1.5203
MNIST_P75_N4,NeurifyTranslatorError(Unsupported activation: None),1.4633
MNIST_P3_N36,NeurifyTranslatorError(Unsupported activation: None),1.4506
MNIST_P97_N34,unsat,4.5638
MNIST_P12_N17,NeurifyTranslatorError(Unsupported computation graph detected),0.8793
MNIST_P71_N24,unsat,6.3109
MNIST_P11_N1,unsat,8.3324
MNIST_P12_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.6331
MNIST_P40_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.093
MNIST_P94_N49,NeurifyTranslatorError(Unsupported activation: None),0.9554
MNIST_P13_N23,unsat,11.679
MNIST_P95_N2,NeurifyTranslatorError(Unsupported activation: None),1.4043
MNIST_P4_N4,NeurifyTranslatorError(Unsupported activation: None),1.5138
MNIST_P40_N24,unsat,5.567
MNIST_P47_N22,NeurifyTranslatorError(Unsupported activation: None),0.9168
MNIST_P39_N2,NeurifyTranslatorError(Unsupported activation: None),1.5817
MNIST_P54_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.9124
MNIST_P39_N34,unsat,3.9441
MNIST_P62_N49,NeurifyTranslatorError(Unsupported activation: None),1.0088
MNIST_P82_N42,unsat,7.3583
MNIST_P11_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.1544
MNIST_P72_N49,NeurifyTranslatorError(Unsupported activation: None),0.8888
MNIST_P13_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.5015
MNIST_P70_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.8683
MNIST_P76_N14,NeurifyTranslatorError(Unsupported activation: None),1.0293
MNIST_P49_N34,unsat,4.3025
MNIST_P53_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.829
MNIST_P51_N8,IOPolytopeReductionError(Unknown shape for variable x_),0.2687
MNIST_P52_N40,unsat,11.704
MNIST_P20_N41,outofmemory,35.134
MNIST_P88_N2,NeurifyTranslatorError(Unsupported activation: None),1.201
MNIST_P61_N46,NeurifyTranslatorError(Unsupported activation: None),1.0145
MNIST_P51_N31,NeurifyTranslatorError(Unsupported activation: None),1.4691
MNIST_P30_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.2551
MNIST_P67_N4,NeurifyTranslatorError(Unsupported activation: None),1.6162
MNIST_P72_N34,unsat,4.0678
MNIST_P53_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.403
MNIST_P3_N24,unsat,5.5008
MNIST_P24_N12,NeurifyTranslatorError(Unsupported activation: None),1.0812
MNIST_P80_N45,unsat,2.9836
MNIST_P80_N23,unsat,12.138
MNIST_P96_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.8703
MNIST_P18_N5,NeurifyTranslatorError(Unsupported activation: None),1.7673
MNIST_P15_N33,NeurifyTranslatorError(Unsupported activation: None),0.9967
MNIST_P93_N15,NeurifyTranslatorError(Unsupported activation: None),2.0643
MNIST_P1_N38,unsat,20.9172
MNIST_P8_N3,NeurifyTranslatorError(Unsupported computation graph detected),1.0483
MNIST_P18_N3,NeurifyTranslatorError(Unsupported computation graph detected),0.8785
MNIST_P48_N35,unsat,12.2435
MNIST_P71_N22,NeurifyTranslatorError(Unsupported activation: None),1.0441
MNIST_P73_N38,unsat,25.1713
MNIST_P17_N38,unsat,20.8697
MNIST_P68_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.0461
MNIST_P67_N12,NeurifyTranslatorError(Unsupported activation: None),1.0891
MNIST_P85_N15,NeurifyTranslatorError(Unsupported activation: None),1.6664
MNIST_P19_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.7497
MNIST_P83_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.7145
MNIST_P99_N31,NeurifyTranslatorError(Unsupported activation: None),1.6818
MNIST_P16_N39,unsat,11.0354
MNIST_P75_N24,sat,1.0603
MNIST_P85_N4,NeurifyTranslatorError(Unsupported activation: None),1.5988
MNIST_P45_N22,NeurifyTranslatorError(Unsupported activation: None),1.077
MNIST_P10_N22,NeurifyTranslatorError(Unsupported activation: None),0.9267
MNIST_P25_N17,NeurifyTranslatorError(Unsupported computation graph detected),0.9189
MNIST_P56_N42,unsat,9.5377
MNIST_P61_N14,NeurifyTranslatorError(Unsupported activation: None),1.1753
MNIST_P4_N2,NeurifyTranslatorError(Unsupported activation: None),1.3516
MNIST_P12_N46,NeurifyTranslatorError(Unsupported activation: None),0.9383
MNIST_P61_N41,outofmemory,32.586
MNIST_P46_N34,unsat,4.2012
MNIST_P90_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.839
MNIST_P96_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.1854
MNIST_P21_N12,NeurifyTranslatorError(Unsupported activation: None),1.0956
MNIST_P45_N41,outofmemory,32.882
MNIST_P62_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.6192
MNIST_P33_N42,sat,2.3703
MNIST_P94_N37,NeurifyTranslatorError(Unsupported activation: None),0.9087
MNIST_P64_N36,NeurifyTranslatorError(Unsupported activation: None),1.2581
MNIST_P76_N48,NeurifyTranslatorError(Unsupported activation: None),0.8673
MNIST_P63_N42,unsat,7.9519
MNIST_P64_N11,unsat,21.6541
MNIST_P98_N48,NeurifyTranslatorError(Unsupported activation: None),0.9591
MNIST_P86_N39,unsat,10.3954
MNIST_P65_N22,NeurifyTranslatorError(Unsupported activation: None),1.1263
MNIST_P25_N4,NeurifyTranslatorError(Unsupported activation: None),1.879
MNIST_P87_N8,IOPolytopeReductionError(Unknown shape for variable x_),0.3051
MNIST_P28_N29,unsat,12.527
MNIST_P70_N29,unsat,12.6528
MNIST_P73_N8,IOPolytopeReductionError(Unknown shape for variable x_),0.3263
MNIST_P80_N36,NeurifyTranslatorError(Unsupported activation: None),1.6655
MNIST_P51_N5,NeurifyTranslatorError(Unsupported activation: None),1.6034
MNIST_P3_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.9709
MNIST_P7_N2,NeurifyTranslatorError(Unsupported activation: None),1.4596
MNIST_P60_N10,unsat,8.2488
MNIST_P18_N15,NeurifyTranslatorError(Unsupported activation: None),1.922
MNIST_P58_N37,NeurifyTranslatorError(Unsupported activation: None),1.1351
MNIST_P64_N39,unsat,11.4688
MNIST_P84_N9,NeurifyTranslatorError(Unsupported activation: None),1.0754
MNIST_P94_N18,NeurifyTranslatorError(Unsupported activation: None),1.6362
MNIST_P45_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.6955
MNIST_P97_N47,unsat,40.8245
MNIST_P45_N9,NeurifyTranslatorError(Unsupported activation: None),1.0234
MNIST_P54_N23,unsat,11.2718
MNIST_P16_N17,NeurifyTranslatorError(Unsupported computation graph detected),0.947
MNIST_P6_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.8415
MNIST_P59_N12,NeurifyTranslatorError(Unsupported activation: None),0.9239
MNIST_P25_N37,NeurifyTranslatorError(Unsupported activation: None),0.8219
MNIST_P61_N5,NeurifyTranslatorError(Unsupported activation: None),1.3552
MNIST_P90_N22,NeurifyTranslatorError(Unsupported activation: None),0.859
MNIST_P70_N47,unsat,41.5158
MNIST_P84_N11,unsat,18.8319
MNIST_P95_N23,unsat,12.2493
MNIST_P46_N17,NeurifyTranslatorError(Unsupported computation graph detected),0.9578
MNIST_P19_N22,NeurifyTranslatorError(Unsupported activation: None),1.0142
MNIST_P56_N40,unsat,12.6184
MNIST_P0_N41,outofmemory,37.739
MNIST_P17_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.9113
MNIST_P10_N31,NeurifyTranslatorError(Unsupported activation: None),1.6725
MNIST_P43_N1,unsat,8.622
MNIST_P8_N33,NeurifyTranslatorError(Unsupported activation: None),1.0493
MNIST_P84_N21,NeurifyTranslatorError(Unsupported activation: None),1.5471
MNIST_P53_N45,unsat,4.3327
MNIST_P45_N1,unsat,8.9118
MNIST_P83_N48,NeurifyTranslatorError(Unsupported activation: None),1.4578
MNIST_P8_N45,sat,2.7316
MNIST_P89_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.0975
MNIST_P93_N34,unsat,4.9427
MNIST_P75_N19,NeurifyTranslatorError(Unsupported activation: None),2.294
