ProblemId,Result,TotalTime
MNIST_P55_N23,timeout,3600.033
MNIST_P6_N46,timeout,3600.006
MNIST_P60_N17,BabTranslatorError(Unsupported computation graph detected),0.5985
MNIST_P30_N7,timeout,3600.034
MNIST_P8_N31,timeout,3600.01
MNIST_P81_N3,BabTranslatorError(Unsupported computation graph detected),0.9524
MNIST_P81_N23,timeout,3600.015
MNIST_P64_N8,BabTranslatorError(Unknown shape for variable x_0),0.0506
MNIST_P35_N16,BabTranslatorError(Unsupported computation graph detected),0.687
MNIST_P40_N15,BabTranslatorError(Unsupported activation type: sigmoid),0.897
MNIST_P41_N1,unsat,3020.4629
MNIST_P84_N20,BabTranslatorError(Unsupported computation graph detected),0.9212
MNIST_P47_N33,timeout,3600.014
MNIST_P89_N12,timeout,3600.003
MNIST_P2_N3,BabTranslatorError(Unsupported computation graph detected),0.7106
MNIST_P74_N16,BabTranslatorError(Unsupported computation graph detected),0.9021
MNIST_P5_N26,BabTranslatorError(Unsupported computation graph detected),0.574
MNIST_P5_N39,timeout,3600.022
MNIST_P52_N11,timeout,3600.002
MNIST_P63_N35,timeout,3600.012
MNIST_P69_N12,timeout,3600.008
MNIST_P52_N9,timeout,3600.015
MNIST_P18_N17,BabTranslatorError(Unsupported computation graph detected),0.5561
MNIST_P54_N37,timeout,3600.008
MNIST_P62_N31,timeout,3600.019
MNIST_P23_N3,BabTranslatorError(Unsupported computation graph detected),0.7716
MNIST_P39_N16,BabTranslatorError(Unsupported computation graph detected),0.994
MNIST_P29_N49,BabTranslatorError(Unsupported activation type: sigmoid),4.0582
MNIST_P30_N22,timeout,3600.018
MNIST_P37_N34,unsat,619.4591
MNIST_P66_N1,unsat,2982.8626
MNIST_P30_N39,timeout,3600.012
MNIST_P65_N13,unsat,2293.049
MNIST_P33_N48,BabTranslatorError(Unsupported activation type: sigmoid),4.1578
MNIST_P34_N5,BabTranslatorError(Unsupported activation type: sigmoid),1.5058
MNIST_P97_N19,BabTranslatorError(Unsupported activation type: tanh),1.3239
MNIST_P61_N41,outofmemory,392.452
MNIST_P67_N5,BabTranslatorError(Unsupported activation type: sigmoid),1.3853
MNIST_P98_N44,unsat,2217.7925
MNIST_P33_N44,unsat,2235.5488
MNIST_P94_N21,BabTranslatorError(Unsupported activation type: tanh),1.3687
MNIST_P55_N10,unsat,1502.4639
MNIST_P26_N34,unsat,609.2162
MNIST_P92_N12,timeout,3600.039
MNIST_P80_N46,timeout,3600.026
MNIST_P48_N24,sat,772.5605
MNIST_P50_N41,outofmemory,402.186
MNIST_P47_N5,BabTranslatorError(Unsupported activation type: sigmoid),1.4881
MNIST_P35_N17,BabTranslatorError(Unsupported computation graph detected),0.8632
MNIST_P21_N18,BabTranslatorError(Unsupported activation type: sigmoid),1.6124
MNIST_P47_N18,BabTranslatorError(Unsupported activation type: sigmoid),1.2696
MNIST_P84_N21,BabTranslatorError(Unsupported activation type: tanh),1.2987
MNIST_P46_N12,timeout,3600.038
MNIST_P94_N44,unsat,2187.1723
