ProblemId,Result,TotalTime
MNIST_P73_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.998
MNIST_P81_N26,NeurifyTranslatorError(Unsupported computation graph detected),0.9134
MNIST_P65_N33,NeurifyTranslatorError(Unsupported activation: None),0.8741
MNIST_P35_N3,NeurifyTranslatorError(Unsupported computation graph detected),0.9567
MNIST_P39_N38,unsat,19.3938
MNIST_P16_N15,NeurifyTranslatorError(Unsupported activation: None),1.9453
MNIST_P55_N25,NeurifyTranslatorError(Unsupported activation: None),1.958
MNIST_P61_N15,NeurifyTranslatorError(Unsupported activation: None),1.8906
MNIST_P67_N1,unsat,8.8361
MNIST_P57_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.9236
MNIST_P62_N12,NeurifyTranslatorError(Unsupported activation: None),1.3403
MNIST_P71_N41,outofmemory,34.006
MNIST_P72_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.919
MNIST_P53_N21,NeurifyTranslatorError(Unsupported activation: None),1.6764
MNIST_P5_N12,NeurifyTranslatorError(Unsupported activation: None),1.628
MNIST_P80_N26,NeurifyTranslatorError(Unsupported computation graph detected),0.8871
MNIST_P45_N48,NeurifyTranslatorError(Unsupported activation: None),1.5851
MNIST_P3_N24,unsat,7.1275
MNIST_P54_N15,NeurifyTranslatorError(Unsupported activation: None),1.9555
MNIST_P22_N5,NeurifyTranslatorError(Unsupported activation: None),2.0007
MNIST_P11_N47,unsat,39.2724
MNIST_P98_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6494
MNIST_P66_N26,NeurifyTranslatorError(Unsupported computation graph detected),0.9782
MNIST_P61_N14,NeurifyTranslatorError(Unsupported activation: None),1.2675
MNIST_P57_N40,unsat,13.0092
MNIST_P38_N35,unsat,12.59
MNIST_P68_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.9518
MNIST_P50_N31,NeurifyTranslatorError(Unsupported activation: None),2.2731
MNIST_P0_N34,unsat,4.9357
MNIST_P59_N12,NeurifyTranslatorError(Unsupported activation: None),1.42
MNIST_P45_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6426
MNIST_P67_N17,NeurifyTranslatorError(Unsupported computation graph detected),1.3709
MNIST_P39_N8,IOPolytopeReductionError(Invalid property: Comparing expressions with different shapes is not supported),0.3578
MNIST_P32_N3,NeurifyTranslatorError(Unsupported computation graph detected),0.9256
MNIST_P94_N37,NeurifyTranslatorError(Unsupported activation: None),1.0538
MNIST_P65_N47,timeout,3600.001
MNIST_P5_N5,NeurifyTranslatorError(Unsupported activation: None),1.7468
MNIST_P96_N16,NeurifyTranslatorError(Unsupported computation graph detected),1.5393
MNIST_P78_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.7377
MNIST_P78_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.3963
MNIST_P54_N25,NeurifyTranslatorError(Unsupported activation: None),1.8267
MNIST_P58_N2,NeurifyTranslatorError(Unsupported activation: None),1.8708
MNIST_P36_N46,NeurifyTranslatorError(Unsupported activation: None),1.4112
MNIST_P77_N48,NeurifyTranslatorError(Unsupported activation: None),1.1519
MNIST_P31_N31,NeurifyTranslatorError(Unsupported activation: None),1.8581
MNIST_P74_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.893
MNIST_P89_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.7291
MNIST_P13_N11,unsat,20.2353
MNIST_P44_N17,NeurifyTranslatorError(Unsupported computation graph detected),0.9452
MNIST_P73_N22,NeurifyTranslatorError(Unsupported activation: None),1.0646
MNIST_P67_N35,unsat,14.5032
MNIST_P92_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.7029
MNIST_P64_N5,NeurifyTranslatorError(Unsupported activation: None),2.3447
MNIST_P28_N23,unsat,15.968
MNIST_P6_N46,NeurifyTranslatorError(Unsupported activation: None),1.3099
MNIST_P89_N42,unsat,10.6153
MNIST_P14_N21,NeurifyTranslatorError(Unsupported activation: None),1.9991
MNIST_P93_N39,unsat,17.1182
MNIST_P32_N5,NeurifyTranslatorError(Unsupported activation: None),1.6707
MNIST_P69_N1,unsat,10.0855
MNIST_P5_N41,outofmemory,37.615
MNIST_P79_N8,IOPolytopeReductionError(Unknown shape for variable x_),0.3595
MNIST_P97_N34,unsat,5.3746
MNIST_P85_N21,NeurifyTranslatorError(Unsupported activation: None),2.5656
MNIST_P14_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",2.1556
MNIST_P84_N1,unsat,8.9298
MNIST_P61_N1,unsat,9.2045
MNIST_P3_N46,NeurifyTranslatorError(Unsupported activation: None),1.0743
MNIST_P8_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.1417
MNIST_P42_N39,unsat,10.0722
MNIST_P68_N47,unsat,39.3842
MNIST_P60_N17,NeurifyTranslatorError(Unsupported computation graph detected),0.7749
MNIST_P28_N14,NeurifyTranslatorError(Unsupported activation: None),0.9162
MNIST_P53_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.0155
MNIST_P69_N26,NeurifyTranslatorError(Unsupported computation graph detected),1.0746
MNIST_P37_N49,NeurifyTranslatorError(Unsupported activation: None),1.0158
MNIST_P44_N2,NeurifyTranslatorError(Unsupported activation: None),1.5862
MNIST_P34_N18,NeurifyTranslatorError(Unsupported activation: None),2.0911
MNIST_P7_N20,NeurifyTranslatorError(Unsupported computation graph detected),0.984
MNIST_P19_N29,unsat,11.521
MNIST_P21_N9,NeurifyTranslatorError(Unsupported activation: None),1.0092
MNIST_P65_N45,unsat,3.2732
MNIST_P71_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.3381
MNIST_P90_N22,NeurifyTranslatorError(Unsupported activation: None),0.9333
MNIST_P49_N37,NeurifyTranslatorError(Unsupported activation: None),0.9953
MNIST_P52_N14,NeurifyTranslatorError(Unsupported activation: None),1.0183
MNIST_P8_N37,NeurifyTranslatorError(Unsupported activation: None),0.8272
MNIST_P18_N17,NeurifyTranslatorError(Unsupported computation graph detected),0.8462
MNIST_P38_N40,unsat,13.2193
MNIST_P67_N22,NeurifyTranslatorError(Unsupported activation: None),1.0719
MNIST_P84_N36,NeurifyTranslatorError(Unsupported activation: None),1.5617
MNIST_P37_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.5954
MNIST_P2_N33,NeurifyTranslatorError(Unsupported activation: None),1.2442
MNIST_P35_N1,unsat,8.6414
MNIST_P31_N3,NeurifyTranslatorError(Unsupported computation graph detected),0.946
MNIST_P69_N23,unsat,12.9223
MNIST_P50_N46,NeurifyTranslatorError(Unsupported activation: None),1.3854
MNIST_P8_N2,NeurifyTranslatorError(Unsupported activation: None),1.624
MNIST_P80_N46,NeurifyTranslatorError(Unsupported activation: None),1.2799
MNIST_P88_N2,NeurifyTranslatorError(Unsupported activation: None),1.6551
MNIST_P73_N2,NeurifyTranslatorError(Unsupported activation: None),1.7788
MNIST_P80_N33,NeurifyTranslatorError(Unsupported activation: None),0.948
MNIST_P73_N41,outofmemory,37.062
MNIST_P20_N40,unsat,12.501
MNIST_P6_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.1017
MNIST_P30_N29,unsat,13.4273
MNIST_P78_N45,unsat,3.15
MNIST_P88_N25,NeurifyTranslatorError(Unsupported activation: None),1.4337
MNIST_P43_N23,unsat,13.4408
MNIST_P10_N4,NeurifyTranslatorError(Unsupported activation: None),1.7207
MNIST_P41_N46,NeurifyTranslatorError(Unsupported activation: None),1.2442
MNIST_P84_N31,NeurifyTranslatorError(Unsupported activation: None),1.5917
MNIST_P52_N35,unsat,12.5432
MNIST_P13_N12,NeurifyTranslatorError(Unsupported activation: None),1.2202
MNIST_P17_N3,NeurifyTranslatorError(Unsupported computation graph detected),1.1555
MNIST_P75_N9,NeurifyTranslatorError(Unsupported activation: None),1.417
MNIST_P14_N49,NeurifyTranslatorError(Unsupported activation: None),1.2758
MNIST_P63_N23,unsat,13.62
MNIST_P16_N23,unsat,12.7102
MNIST_P61_N19,NeurifyTranslatorError(Unsupported activation: None),1.7617
MNIST_P82_N48,NeurifyTranslatorError(Unsupported activation: None),1.1619
MNIST_P18_N24,sat,2.0358
MNIST_P35_N17,NeurifyTranslatorError(Unsupported computation graph detected),1.0614
MNIST_P58_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.2967
MNIST_P71_N22,NeurifyTranslatorError(Unsupported activation: None),0.8093
MNIST_P78_N3,NeurifyTranslatorError(Unsupported computation graph detected),0.8797
MNIST_P33_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.711
MNIST_P42_N29,unsat,13.8233
MNIST_P95_N39,unsat,11.1191
MNIST_P26_N23,unsat,13.2823
MNIST_P12_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.1814
MNIST_P64_N23,unsat,13.9341
MNIST_P6_N38,timeout,3600.001
MNIST_P67_N37,NeurifyTranslatorError(Unsupported activation: None),0.935
MNIST_P78_N42,unsat,8.4965
MNIST_P58_N5,NeurifyTranslatorError(Unsupported activation: None),1.3966
MNIST_P84_N21,NeurifyTranslatorError(Unsupported activation: None),1.8701
MNIST_P31_N35,unsat,12.6951
MNIST_P1_N44,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.1651
MNIST_P94_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.8756
MNIST_P11_N5,NeurifyTranslatorError(Unsupported activation: None),1.6895
MNIST_P96_N31,NeurifyTranslatorError(Unsupported activation: None),1.8456
