ProblemId,Result,TotalTime
MNIST_P58_N38,timeout,3600.01
MNIST_P55_N39,timeout,3600.016
MNIST_P33_N11,outofmemory,117.772
MNIST_P83_N22,NeurifyTranslatorError(Unsupported activation: None),0.8185
MNIST_P84_N16,NeurifyTranslatorError(Unsupported computation graph detected),0.8257
MNIST_P19_N24,unsat,6.7237
MNIST_P22_N26,NeurifyTranslatorError(Unsupported computation graph detected),1.2212
MNIST_P93_N10,unsat,9.3566
MNIST_P12_N9,NeurifyTranslatorError(Unsupported activation: None),1.3375
MNIST_P50_N17,NeurifyTranslatorError(Unsupported computation graph detected),0.9593
MNIST_P63_N47,timeout,3600.005
MNIST_P18_N21,NeurifyTranslatorError(Unsupported activation: None),2.2826
MNIST_P87_N27,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6368
MNIST_P36_N11,unsat,19.5356
MNIST_P15_N23,unsat,13.2129
MNIST_P31_N36,NeurifyTranslatorError(Unsupported activation: None),1.7534
MNIST_P2_N7,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",1.9
MNIST_P10_N10,unsat,8.5603
MNIST_P46_N15,NeurifyTranslatorError(Unsupported activation: None),1.8302
MNIST_P54_N19,NeurifyTranslatorError(Unsupported activation: None),1.7409
MNIST_P2_N14,NeurifyTranslatorError(Unsupported activation: None),1.2407
MNIST_P60_N24,sat,3.7851
MNIST_P9_N33,NeurifyTranslatorError(Unsupported activation: None),1.672
MNIST_P22_N8,IOPolytopeReductionError(Unknown shape for variable x_),0.2281
MNIST_P67_N20,NeurifyTranslatorError(Unsupported computation graph detected),1.0466
MNIST_P18_N36,NeurifyTranslatorError(Unsupported activation: None),1.3322
MNIST_P84_N42,unsat,8.8928
MNIST_P12_N15,NeurifyTranslatorError(Unsupported activation: None),1.6246
MNIST_P84_N37,NeurifyTranslatorError(Unsupported activation: None),0.97
MNIST_P83_N2,NeurifyTranslatorError(Unsupported activation: None),1.2316
MNIST_P36_N47,timeout,3600.016
MNIST_P86_N45,unsat,3.9954
MNIST_P95_N13,"NeurifyTranslatorError(Unsupported number of axes for network input. Expected 4 or 2, got 3)",0.6722
MNIST_P6_N49,NeurifyTranslatorError(Unsupported activation: None),1.0068
MNIST_P5_N29,unsat,13.7174
MNIST_P97_N24,sat,3.5807
MNIST_P88_N25,NeurifyTranslatorError(Unsupported activation: None),1.716
MNIST_P70_N42,unsat,9.6934
MNIST_P15_N29,unsat,13.4038
MNIST_P47_N9,NeurifyTranslatorError(Unsupported activation: None),1.1791
MNIST_P94_N41,outofmemory,33.817
MNIST_P23_N21,NeurifyTranslatorError(Unsupported activation: None),1.8238
MNIST_P3_N19,NeurifyTranslatorError(Unsupported activation: None),1.5132
MNIST_P47_N45,unsat,2.6262
MNIST_P21_N17,NeurifyTranslatorError(Unsupported computation graph detected),0.7075
MNIST_P54_N5,NeurifyTranslatorError(Unsupported activation: None),1.2774
MNIST_P32_N24,unsat,5.9242
MNIST_P0_N40,unsat,14.4481
MNIST_P10_N42,unsat,10.3287
MNIST_P5_N18,NeurifyTranslatorError(Unsupported activation: None),1.8456
MNIST_P76_N1,unsat,8.9446
MNIST_P32_N12,NeurifyTranslatorError(Unsupported activation: None),1.3399
