ProblemId,Result,TotalTime
CIFAR_P71_N44,VerinetTranslatorError(Div operations are not supported.),0.8893
CIFAR_P33_N8,VerinetTranslatorError(Transpose operations are not supported.),0.6609
CIFAR_P55_N29,VerinetTranslatorError(Transpose operations are not supported.),0.7242
CIFAR_P74_N46,VerinetTranslatorError(Div operations are not supported.),0.7903
CIFAR_P96_N41,VerinetTranslatorError(Div operations are not supported.),0.7396
CIFAR_P1_N22,VerinetTranslatorError(Div operations are not supported.),0.6916
CIFAR_P22_N41,VerinetTranslatorError(Div operations are not supported.),0.9363
CIFAR_P52_N43,VerinetTranslatorError(Div operations are not supported.),0.9274
CIFAR_P2_N46,VerinetTranslatorError(Div operations are not supported.),0.8208
CIFAR_P43_N35,VerinetTranslatorError(Div operations are not supported.),0.9096
CIFAR_P54_N1,VerinetTranslatorError(Div operations are not supported.),0.9398
CIFAR_P77_N46,VerinetTranslatorError(Div operations are not supported.),0.79
CIFAR_P79_N27,VerinetTranslatorError(Div operations are not supported.),0.7156
CIFAR_P81_N16,VerinetTranslatorError(Div operations are not supported.),0.6257
CIFAR_P61_N29,VerinetTranslatorError(Transpose operations are not supported.),0.6876
CIFAR_P91_N2,sat,25.0251
CIFAR_P30_N16,VerinetTranslatorError(Div operations are not supported.),0.6413
CIFAR_P8_N1,VerinetTranslatorError(Div operations are not supported.),0.8396
CIFAR_P92_N47,VerinetTranslatorError(Div operations are not supported.),0.5759
CIFAR_P73_N21,VerinetTranslatorError(Div operations are not supported.),0.8979
CIFAR_P94_N17,sat,28.7791
CIFAR_P77_N20,VerinetTranslatorError(Div operations are not supported.),0.8853
CIFAR_P28_N6,VerinetTranslatorError(Div operations are not supported.),1.127
CIFAR_P44_N3,VerinetTranslatorError(Transpose operations are not supported.),0.5678
CIFAR_P29_N12,VerinetTranslatorError(Div operations are not supported.),0.681
CIFAR_P46_N5,outofmemory,39.575
CIFAR_P64_N47,VerinetTranslatorError(Div operations are not supported.),0.5913
CIFAR_P72_N8,VerinetTranslatorError(Transpose operations are not supported.),0.6307
CIFAR_P30_N35,VerinetTranslatorError(Div operations are not supported.),0.8078
CIFAR_P49_N44,VerinetTranslatorError(Div operations are not supported.),0.8017
CIFAR_P51_N12,VerinetTranslatorError(Div operations are not supported.),0.7452
CIFAR_P90_N19,VerinetTranslatorError(MaxPool operations are not supported.),0.8455
CIFAR_P37_N21,VerinetTranslatorError(Div operations are not supported.),0.8315
CIFAR_P48_N16,VerinetTranslatorError(Div operations are not supported.),0.7221
CIFAR_P79_N37,VerinetTranslatorError(Div operations are not supported.),0.744
CIFAR_P76_N5,outofmemory,39.265
CIFAR_P74_N18,sat,13.2907
CIFAR_P13_N18,sat,7.5851
CIFAR_P86_N34,unsat,58.8407
CIFAR_P90_N8,VerinetTranslatorError(Transpose operations are not supported.),0.6521
CIFAR_P77_N7,VerinetTranslatorError(Div operations are not supported.),0.7109
CIFAR_P62_N34,sat,7.2286
