ProblemId,Result,TotalTime
CIFAR_P42_N27,BabTranslatorError(Unsupported computation graph detected),1.0249
CIFAR_P64_N2,VerificationRunnerError(IndexError),
CIFAR_P6_N17,sat,542.9044
CIFAR_P38_N21,BabTranslatorError(Unsupported computation graph detected),1.1862
CIFAR_P21_N12,BabTranslatorError(Unsupported computation graph detected),1.1917
CIFAR_P54_N22,BabTranslatorError(Unsupported computation graph detected),1.0445
CIFAR_P66_N30,BabTranslatorError(Unsupported computation graph detected),1.4111
CIFAR_P0_N7,BabTranslatorError(Unsupported computation graph detected),1.5023
CIFAR_P62_N31,BabTranslatorError(Unsupported computation graph detected),0.9627
CIFAR_P91_N28,BabTranslatorError(Unsupported computation graph detected),1.3101
CIFAR_P19_N7,BabTranslatorError(Unsupported computation graph detected),1.2416
CIFAR_P92_N8,BabTranslatorError(Unsupported computation graph detected),1.195
CIFAR_P34_N33,BabTranslatorError(Unsupported computation graph detected),1.2671
CIFAR_P26_N19,BabTranslatorError(Unsupported computation graph detected),1.6406
CIFAR_P35_N21,BabTranslatorError(Unsupported computation graph detected),1.1453
CIFAR_P50_N5,outofmemory,166.706
CIFAR_P81_N5,outofmemory,167.84
CIFAR_P48_N3,BabTranslatorError(Unsupported computation graph detected),0.9114
CIFAR_P55_N4,timeout,3600.017
CIFAR_P94_N25,outofmemory,168.139
CIFAR_P3_N8,BabTranslatorError(Unsupported computation graph detected),0.966
CIFAR_P97_N44,BabTranslatorError(Unsupported computation graph detected),1.6005
CIFAR_P79_N24,BabTranslatorError(Unsupported computation graph detected),1.5658
CIFAR_P4_N33,BabTranslatorError(Unsupported computation graph detected),1.1892
CIFAR_P27_N21,BabTranslatorError(Unsupported computation graph detected),0.9903
CIFAR_P79_N26,BabTranslatorError(Unsupported computation graph detected),1.1754
CIFAR_P92_N15,timeout,3600.027
CIFAR_P89_N24,BabTranslatorError(Unsupported computation graph detected),1.5503
CIFAR_P80_N12,BabTranslatorError(Unsupported computation graph detected),1.1852
CIFAR_P21_N22,BabTranslatorError(Unsupported computation graph detected),0.9584
CIFAR_P66_N17,sat,542.749
CIFAR_P74_N21,BabTranslatorError(Unsupported computation graph detected),1.008
CIFAR_P87_N41,BabTranslatorError(Unsupported computation graph detected),1.6806
CIFAR_P6_N45,BabTranslatorError(Unsupported computation graph detected),1.3879
CIFAR_P58_N32,timeout,3600.039
CIFAR_P44_N47,BabTranslatorError(Unsupported computation graph detected),1.0794
CIFAR_P47_N34,sat,2084.4829
CIFAR_P88_N46,BabTranslatorError(Unsupported computation graph detected),1.3507
CIFAR_P33_N12,BabTranslatorError(Unsupported computation graph detected),1.2105
CIFAR_P19_N1,BabTranslatorError(Unsupported computation graph detected),1.258
CIFAR_P89_N5,outofmemory,168.941
CIFAR_P92_N33,BabTranslatorError(Unsupported computation graph detected),1.1014
CIFAR_P1_N5,outofmemory,168.591
CIFAR_P77_N9,BabTranslatorError(Unsupported computation graph detected),2.2896
CIFAR_P38_N44,BabTranslatorError(Unsupported computation graph detected),1.3457
CIFAR_P1_N27,BabTranslatorError(Unsupported computation graph detected),0.9954
CIFAR_P89_N27,BabTranslatorError(Unsupported computation graph detected),1.5247
CIFAR_P8_N28,BabTranslatorError(Unsupported computation graph detected),1.607
CIFAR_P36_N15,timeout,3600.022
CIFAR_P13_N9,BabTranslatorError(Unsupported computation graph detected),2.2472
CIFAR_P42_N1,BabTranslatorError(Unsupported computation graph detected),1.3496
CIFAR_P2_N2,timeout,3600.007
CIFAR_P6_N16,BabTranslatorError(Unsupported computation graph detected),1.1341
CIFAR_P50_N45,BabTranslatorError(Unsupported computation graph detected),1.1958
CIFAR_P54_N34,sat,2418.4235
CIFAR_P57_N7,BabTranslatorError(Unsupported computation graph detected),1.4239
CIFAR_P61_N32,sat,1447.1312
CIFAR_P29_N2,timeout,3600.022
CIFAR_P64_N13,timeout,3600.005
CIFAR_P83_N24,BabTranslatorError(Unsupported computation graph detected),1.8603
CIFAR_P34_N5,outofmemory,165.488
CIFAR_P39_N4,timeout,3600.02
CIFAR_P93_N1,BabTranslatorError(Unsupported computation graph detected),1.157
CIFAR_P8_N12,BabTranslatorError(Unsupported computation graph detected),1.2181
CIFAR_P5_N38,BabTranslatorError(Unsupported computation graph detected),1.5655
CIFAR_P0_N29,BabTranslatorError(Unsupported computation graph detected),0.9471
CIFAR_P35_N3,BabTranslatorError(Unsupported computation graph detected),1.2241
CIFAR_P7_N20,BabTranslatorError(Unsupported computation graph detected),1.3226
CIFAR_P27_N42,sat,563.0656
CIFAR_P74_N45,BabTranslatorError(Unsupported computation graph detected),1.5715
CIFAR_P88_N14,BabTranslatorError(Unsupported computation graph detected),1.4462
CIFAR_P17_N6,BabTranslatorError(Unsupported computation graph detected),2.1036
CIFAR_P88_N42,sat,574.283
CIFAR_P97_N43,BabTranslatorError(Unsupported computation graph detected),1.2138
CIFAR_P13_N38,BabTranslatorError(Unsupported computation graph detected),1.1802
CIFAR_P85_N44,BabTranslatorError(Unsupported computation graph detected),1.6759
CIFAR_P73_N17,sat,541.8227
CIFAR_P56_N30,BabTranslatorError(Unsupported computation graph detected),2.09
CIFAR_P92_N19,BabTranslatorError(Unsupported computation graph detected),1.6415
CIFAR_P58_N28,BabTranslatorError(Unsupported computation graph detected),1.3405
CIFAR_P33_N41,BabTranslatorError(Unsupported computation graph detected),1.331
CIFAR_P95_N29,BabTranslatorError(Unsupported computation graph detected),1.2787
CIFAR_P53_N32,timeout,3600.01
CIFAR_P67_N33,BabTranslatorError(Unsupported computation graph detected),1.4388
CIFAR_P74_N14,BabTranslatorError(Unsupported computation graph detected),1.3628
CIFAR_P93_N20,BabTranslatorError(Unsupported computation graph detected),1.1891
CIFAR_P15_N22,BabTranslatorError(Unsupported computation graph detected),1.0994
CIFAR_P64_N43,BabTranslatorError(Unsupported computation graph detected),1.325
CIFAR_P89_N17,sat,560.815
CIFAR_P53_N24,BabTranslatorError(Unsupported computation graph detected),1.3458
CIFAR_P36_N41,BabTranslatorError(Unsupported computation graph detected),1.4598
CIFAR_P55_N43,BabTranslatorError(Unsupported computation graph detected),1.3643
CIFAR_P73_N5,outofmemory,172.852
CIFAR_P75_N17,timeout,3600.012
CIFAR_P32_N45,BabTranslatorError(Unsupported computation graph detected),1.7935
CIFAR_P18_N19,BabTranslatorError(Unsupported computation graph detected),1.9266
CIFAR_P67_N8,BabTranslatorError(Unsupported computation graph detected),1.2813
CIFAR_P45_N42,sat,572.8369
CIFAR_P65_N41,BabTranslatorError(Unsupported computation graph detected),1.5047
CIFAR_P7_N25,outofmemory,173.114
CIFAR_P20_N32,sat,1650.1924
