ProblemId,Result,TotalTime
CIFAR_P40_N37,VerinetTranslatorError(Div operations are not supported.),0.8651
CIFAR_P92_N1,VerinetTranslatorError(Div operations are not supported.),0.8276
CIFAR_P79_N32,sat,7.5598
CIFAR_P57_N29,VerinetTranslatorError(Transpose operations are not supported.),0.7706
CIFAR_P71_N26,VerinetTranslatorError(Div operations are not supported.),0.7763
CIFAR_P12_N16,VerinetTranslatorError(Div operations are not supported.),0.6158
CIFAR_P75_N44,VerinetTranslatorError(Div operations are not supported.),0.8105
CIFAR_P91_N13,sat,7.2169
CIFAR_P85_N31,VerinetTranslatorError(Div operations are not supported.),0.8224
CIFAR_P64_N24,VerinetTranslatorError(Div operations are not supported.),0.8513
CIFAR_P7_N7,VerinetTranslatorError(Div operations are not supported.),0.9572
CIFAR_P81_N2,sat,9.9212
CIFAR_P67_N46,VerinetTranslatorError(Div operations are not supported.),0.7758
CIFAR_P48_N8,VerinetTranslatorError(Transpose operations are not supported.),0.7356
CIFAR_P11_N38,VerinetTranslatorError(Div operations are not supported.),0.9379
CIFAR_P38_N42,sat,7.0483
CIFAR_P9_N43,VerinetTranslatorError(Div operations are not supported.),0.8481
CIFAR_P59_N46,VerinetTranslatorError(Div operations are not supported.),0.8249
CIFAR_P13_N15,sat,18.494
CIFAR_P42_N42,sat,18.0387
CIFAR_P24_N18,sat,7.9313
CIFAR_P4_N33,VerinetTranslatorError(Div operations are not supported.),0.7988
CIFAR_P73_N22,VerinetTranslatorError(Div operations are not supported.),0.7692
CIFAR_P15_N17,sat,7.2339
CIFAR_P80_N22,VerinetTranslatorError(Div operations are not supported.),0.679
CIFAR_P99_N45,VerinetTranslatorError(Div operations are not supported.),0.7796
CIFAR_P85_N21,VerinetTranslatorError(Div operations are not supported.),0.784
CIFAR_P48_N26,VerinetTranslatorError(Div operations are not supported.),0.8226
CIFAR_P14_N30,VerinetTranslatorError(Div operations are not supported.),1.0922
CIFAR_P76_N44,VerinetTranslatorError(Div operations are not supported.),0.8861
CIFAR_P8_N8,VerinetTranslatorError(Transpose operations are not supported.),0.7766
CIFAR_P1_N17,sat,6.3093
CIFAR_P99_N47,VerinetTranslatorError(Div operations are not supported.),0.6289
CIFAR_P59_N28,VerinetTranslatorError(Div operations are not supported.),0.8328
CIFAR_P66_N14,VerinetTranslatorError(Div operations are not supported.),0.744
CIFAR_P52_N4,sat,7.1801
CIFAR_P85_N17,sat,11.9232
CIFAR_P87_N9,VerinetTranslatorError(Div operations are not supported.),1.2018
CIFAR_P53_N1,VerinetTranslatorError(Div operations are not supported.),0.9992
CIFAR_P89_N1,VerinetTranslatorError(Div operations are not supported.),0.9767
CIFAR_P15_N43,VerinetTranslatorError(Div operations are not supported.),0.7196
CIFAR_P35_N18,unsat,57.6872
CIFAR_P1_N6,VerinetTranslatorError(Div operations are not supported.),0.8605
CIFAR_P31_N17,sat,5.9498
CIFAR_P60_N19,VerinetTranslatorError(MaxPool operations are not supported.),0.8616
CIFAR_P70_N35,VerinetTranslatorError(Div operations are not supported.),0.7071
CIFAR_P40_N41,VerinetTranslatorError(Div operations are not supported.),0.7172
