ProblemId,Result,TotalTime
CIFAR_P96_N1,MarabouError(Return code: 1),5.8011
CIFAR_P53_N22,MarabouError(Return code: 1),5.7226
CIFAR_P87_N1,MarabouError(Return code: 1),5.7867
CIFAR_P17_N1,MarabouError(Return code: 1),5.6952
CIFAR_P29_N37,MarabouError(Return code: 1),5.7604
CIFAR_P81_N5,outofmemory,158.135
CIFAR_P13_N34,unsat,99.8197
CIFAR_P43_N22,MarabouError(Return code: 1),5.6762
CIFAR_P48_N4,timeout,3600.012
CIFAR_P60_N3,outofmemory,51.993
CIFAR_P91_N15,outofmemory,112.292
CIFAR_P91_N43,MarabouError(Return code: 1),5.6534
CIFAR_P71_N44,MarabouError(Return code: 1),5.7529
CIFAR_P60_N9,MarabouError(Return code: 1),5.765
CIFAR_P76_N25,outofmemory,163.626
CIFAR_P36_N41,MarabouError(Return code: 1),5.7957
CIFAR_P1_N9,MarabouError(Return code: 1),5.9461
CIFAR_P16_N23,MarabouError(Return code: 1),5.8321
CIFAR_P44_N24,MarabouError(Return code: 1),5.644
CIFAR_P85_N38,MarabouError(Return code: 1),5.7504
CIFAR_P91_N34,unsat,97.9822
CIFAR_P99_N21,MarabouError(Return code: 1),5.7514
CIFAR_P45_N44,MarabouError(Return code: 1),5.7459
CIFAR_P51_N9,MarabouError(Return code: 1),5.872
CIFAR_P67_N15,outofmemory,121.749
CIFAR_P5_N21,MarabouError(Return code: 1),2.7287
CIFAR_P51_N46,MarabouError(Return code: 1),2.8782
CIFAR_P72_N22,MarabouError(Return code: 1),3.0443
CIFAR_P4_N42,timeout,3600.011
CIFAR_P33_N16,MarabouError(Return code: 1),3.1117
CIFAR_P88_N25,outofmemory,167.375
CIFAR_P53_N41,MarabouError(Return code: 1),3.2168
CIFAR_P76_N46,MarabouError(Return code: 1),3.4224
CIFAR_P13_N25,outofmemory,168.615
CIFAR_P29_N15,outofmemory,115.624
CIFAR_P40_N21,MarabouError(Return code: 1),3.8791
