ProblemId,Result,TotalTime
CIFAR_P59_N30,VerinetTranslatorError(Div operations are not supported.),0.9533
CIFAR_P34_N45,VerinetTranslatorError(Div operations are not supported.),0.8383
CIFAR_P59_N8,VerinetTranslatorError(Transpose operations are not supported.),0.7591
CIFAR_P71_N1,VerinetTranslatorError(Div operations are not supported.),1.0016
CIFAR_P15_N17,sat,10.4684
CIFAR_P83_N3,VerinetTranslatorError(Transpose operations are not supported.),0.6581
CIFAR_P9_N28,VerinetTranslatorError(Div operations are not supported.),0.8186
CIFAR_P14_N46,VerinetTranslatorError(Div operations are not supported.),0.7974
CIFAR_P62_N46,VerinetTranslatorError(Div operations are not supported.),0.7293
CIFAR_P41_N42,sat,32.8363
CIFAR_P65_N13,unsat,59.7054
CIFAR_P86_N29,VerinetTranslatorError(Transpose operations are not supported.),0.6937
CIFAR_P7_N9,VerinetTranslatorError(Div operations are not supported.),1.2422
CIFAR_P18_N13,sat,10.8212
CIFAR_P26_N23,VerinetTranslatorError(Div operations are not supported.),0.9211
CIFAR_P57_N31,VerinetTranslatorError(Div operations are not supported.),0.8483
CIFAR_P80_N14,VerinetTranslatorError(Div operations are not supported.),0.9191
CIFAR_P45_N47,VerinetTranslatorError(Div operations are not supported.),0.7028
CIFAR_P85_N16,VerinetTranslatorError(Div operations are not supported.),0.706
CIFAR_P12_N20,VerinetTranslatorError(Div operations are not supported.),0.8258
CIFAR_P54_N26,VerinetTranslatorError(Div operations are not supported.),0.8658
CIFAR_P71_N23,VerinetTranslatorError(Div operations are not supported.),0.7934
CIFAR_P42_N5,outofmemory,54.338
CIFAR_P18_N37,VerinetTranslatorError(Div operations are not supported.),0.7443
CIFAR_P38_N20,VerinetTranslatorError(Div operations are not supported.),1.1566
CIFAR_P24_N44,VerinetTranslatorError(Div operations are not supported.),0.9604
CIFAR_P41_N7,VerinetTranslatorError(Div operations are not supported.),0.8613
CIFAR_P86_N17,unsat,51.2189
CIFAR_P12_N19,VerinetTranslatorError(MaxPool operations are not supported.),0.845
CIFAR_P24_N31,VerinetTranslatorError(Div operations are not supported.),0.8871
CIFAR_P46_N30,VerinetTranslatorError(Div operations are not supported.),1.258
CIFAR_P33_N12,VerinetTranslatorError(Div operations are not supported.),0.8325
CIFAR_P56_N2,sat,9.3976
CIFAR_P59_N43,VerinetTranslatorError(Div operations are not supported.),0.8936
CIFAR_P81_N42,sat,5.6847
CIFAR_P90_N17,sat,16.3433
CIFAR_P92_N43,VerinetTranslatorError(Div operations are not supported.),1.0009
CIFAR_P69_N29,VerinetTranslatorError(Transpose operations are not supported.),0.8984
CIFAR_P45_N19,VerinetTranslatorError(MaxPool operations are not supported.),0.9792
CIFAR_P97_N8,VerinetTranslatorError(Transpose operations are not supported.),0.7165
CIFAR_P69_N24,VerinetTranslatorError(Div operations are not supported.),0.8895
CIFAR_P43_N3,VerinetTranslatorError(Transpose operations are not supported.),0.763
CIFAR_P79_N1,VerinetTranslatorError(Div operations are not supported.),0.7861
CIFAR_P99_N19,VerinetTranslatorError(MaxPool operations are not supported.),0.7778
CIFAR_P49_N22,VerinetTranslatorError(Div operations are not supported.),0.6139
CIFAR_P13_N47,VerinetTranslatorError(Div operations are not supported.),0.575
CIFAR_P15_N19,VerinetTranslatorError(MaxPool operations are not supported.),0.959
CIFAR_P22_N29,VerinetTranslatorError(Transpose operations are not supported.),0.6787
CIFAR_P56_N17,sat,7.6419
CIFAR_P69_N20,VerinetTranslatorError(Div operations are not supported.),0.9092
CIFAR_P96_N12,VerinetTranslatorError(Div operations are not supported.),0.6412
CIFAR_P82_N32,sat,7.8965
CIFAR_P8_N12,VerinetTranslatorError(Div operations are not supported.),0.7009
CIFAR_P56_N12,VerinetTranslatorError(Div operations are not supported.),0.7221
CIFAR_P59_N4,timeout,3600.004
CIFAR_P78_N26,VerinetTranslatorError(Div operations are not supported.),1.0081
CIFAR_P14_N25,outofmemory,42.193
CIFAR_P50_N34,sat,8.3634
CIFAR_P58_N42,sat,30.2698
CIFAR_P56_N47,VerinetTranslatorError(Div operations are not supported.),0.7452
CIFAR_P5_N33,VerinetTranslatorError(Div operations are not supported.),0.7903
CIFAR_P12_N23,VerinetTranslatorError(Div operations are not supported.),0.8244
CIFAR_P82_N5,outofmemory,38.818
