ProblemId,Result,TotalTime
CIFAR_P22_N25,outofmemory,171.94
CIFAR_P90_N17,sat,530.1177
CIFAR_P33_N5,outofmemory,173.544
CIFAR_P10_N32,sat,1525.9289
CIFAR_P15_N5,outofmemory,167.793
CIFAR_P34_N30,BabTranslatorError(Unsupported computation graph detected),1.6859
CIFAR_P36_N22,BabTranslatorError(Unsupported computation graph detected),0.9332
CIFAR_P17_N25,outofmemory,170.295
CIFAR_P93_N4,timeout,3600.024
CIFAR_P97_N32,sat,1531.3603
CIFAR_P56_N12,BabTranslatorError(Unsupported computation graph detected),1.2654
CIFAR_P25_N42,timeout,3600.006
CIFAR_P56_N31,BabTranslatorError(Unsupported computation graph detected),1.0057
CIFAR_P78_N47,BabTranslatorError(Unsupported computation graph detected),0.9555
CIFAR_P99_N31,BabTranslatorError(Unsupported computation graph detected),1.0764
CIFAR_P65_N43,BabTranslatorError(Unsupported computation graph detected),1.0604
CIFAR_P99_N37,BabTranslatorError(Unsupported computation graph detected),1.2379
CIFAR_P39_N6,BabTranslatorError(Unsupported computation graph detected),1.7135
CIFAR_P59_N44,BabTranslatorError(Unsupported computation graph detected),1.2824
CIFAR_P3_N17,timeout,3600.033
CIFAR_P28_N23,BabTranslatorError(Unsupported computation graph detected),1.5214
CIFAR_P10_N9,BabTranslatorError(Unsupported computation graph detected),2.0763
CIFAR_P26_N34,timeout,3600.017
CIFAR_P31_N14,BabTranslatorError(Unsupported computation graph detected),1.3778
CIFAR_P17_N24,BabTranslatorError(Unsupported computation graph detected),1.5124
CIFAR_P67_N30,BabTranslatorError(Unsupported computation graph detected),1.7197
CIFAR_P62_N15,timeout,3600.011
CIFAR_P22_N44,BabTranslatorError(Unsupported computation graph detected),1.4222
CIFAR_P64_N3,BabTranslatorError(Unsupported computation graph detected),0.9774
CIFAR_P94_N8,BabTranslatorError(Unsupported computation graph detected),1.0406
CIFAR_P23_N30,BabTranslatorError(Unsupported computation graph detected),1.7436
CIFAR_P96_N29,BabTranslatorError(Unsupported computation graph detected),0.9475
CIFAR_P84_N2,timeout,3600.012
CIFAR_P76_N27,BabTranslatorError(Unsupported computation graph detected),0.9528
CIFAR_P40_N34,timeout,3600.01
CIFAR_P70_N28,BabTranslatorError(Unsupported computation graph detected),1.4721
CIFAR_P76_N21,BabTranslatorError(Unsupported computation graph detected),1.1051
CIFAR_P31_N23,BabTranslatorError(Unsupported computation graph detected),1.691
CIFAR_P55_N25,outofmemory,168.747
CIFAR_P1_N26,BabTranslatorError(Unsupported computation graph detected),1.5178
CIFAR_P74_N30,BabTranslatorError(Unsupported computation graph detected),1.9282
CIFAR_P0_N12,BabTranslatorError(Unsupported computation graph detected),1.1638
CIFAR_P39_N15,timeout,3600.012
CIFAR_P47_N14,BabTranslatorError(Unsupported computation graph detected),1.7005
CIFAR_P52_N33,BabTranslatorError(Unsupported computation graph detected),1.1918
CIFAR_P84_N27,BabTranslatorError(Unsupported computation graph detected),1.0862
CIFAR_P32_N46,BabTranslatorError(Unsupported computation graph detected),1.5125
CIFAR_P59_N46,BabTranslatorError(Unsupported computation graph detected),1.4142
CIFAR_P82_N19,BabTranslatorError(Unsupported computation graph detected),1.6322
CIFAR_P67_N6,BabTranslatorError(Unsupported computation graph detected),1.6013
CIFAR_P3_N34,timeout,3600.024
CIFAR_P99_N8,BabTranslatorError(Unsupported computation graph detected),1.095
CIFAR_P61_N35,BabTranslatorError(Unsupported computation graph detected),1.3517
CIFAR_P36_N27,BabTranslatorError(Unsupported computation graph detected),1.1018
CIFAR_P0_N17,timeout,3600.018
CIFAR_P59_N1,BabTranslatorError(Unsupported computation graph detected),1.3763
CIFAR_P75_N5,outofmemory,170.277
CIFAR_P85_N29,BabTranslatorError(Unsupported computation graph detected),1.0184
CIFAR_P73_N31,BabTranslatorError(Unsupported computation graph detected),1.3143
CIFAR_P22_N42,timeout,3600.008
CIFAR_P16_N26,BabTranslatorError(Unsupported computation graph detected),1.465
CIFAR_P25_N12,BabTranslatorError(Unsupported computation graph detected),1.1899
CIFAR_P42_N15,timeout,3600.028
CIFAR_P78_N16,BabTranslatorError(Unsupported computation graph detected),0.97
CIFAR_P87_N34,sat,2605.2766
CIFAR_P5_N22,BabTranslatorError(Unsupported computation graph detected),1.0857
CIFAR_P78_N13,sat,1432.3324
CIFAR_P83_N17,sat,562.8322
CIFAR_P9_N46,BabTranslatorError(Unsupported computation graph detected),1.8218
CIFAR_P21_N1,BabTranslatorError(Unsupported computation graph detected),1.291
CIFAR_P32_N9,BabTranslatorError(Unsupported computation graph detected),2.4886
CIFAR_P63_N31,BabTranslatorError(Unsupported computation graph detected),1.3586
